roleid,name,description
d008bfde-da92-e111-9d8c-000c2959f9b8,Field Service - Dispatcher,
f7f90019-dc14-e911-816a-000d3a069ebd,Omnichannel administrator,
c30c8811-9519-e911-817c-000d3a0718d1,Forecast user,
e739f82a-9519-e911-817c-000d3a0718d1,Forecast manager,
b9b08637-acf6-e711-a95a-000d3a11f5ee,Approvals User,
4931681d-8163-e811-a965-000d3a11fe32,Export Customizations (Solution Checker),
d88a1b99-fea8-eb11-8237-000d3a1ae7b4,(Deprecated) Metadata Store Reader,
e0d2794e-82f3-e811-a951-000d3a1bcf17,Bot Author,
e05075eb-9d74-e811-a95c-000d3a1c53e4,Solution Checker,
19014756-5407-ed11-82e4-000d3a1f71e3,D365ChannelDefinitions Admin,
90bb098b-d3b6-ea11-a812-000d3a31eec8,Customer Voice - Add on,
180b3494-0503-ed11-82e6-000d3a33db7e,Sustainability BusinessUnit - ingest - full access Role,
d58407f2-48d5-e711-a82c-000d3a37c848,Environment Maker,
4178df9e-4ea5-e811-8149-000d3a3a2731,Playbook User,
4178df9e-4ea5-e811-8149-000d3a3a2732,Playbook Manager,
a1801436-efd6-e811-a96e-000d3a3ab886,CCI admin,
4758a2be-ccd8-ea11-a813-000d3a579805,App Profile Manager Administrator,
61649654-ced8-ea11-a813-000d3a579805,App Profile User,
5d654478-ef8d-ec11-b3fe-000d3a5cee94,Analytics Report Author,
edfcbfd2-358f-ea11-a81f-000d3a6eafd3,DataLakeWorkspaceAppAccess,
2c321cf0-f096-ea11-a81a-000d3a6ecd99,EAC App Access,
6b860c71-0e4e-ec11-b1b5-000d3a6ed5b3,Desktop Flow Machine Configuration Admin,
5a8c8098-b933-eb11-a813-000d3a8e7ded,(Deprecated) Marketing Realtime Feature Configuration Administrator,
1cbf96a1-b933-eb11-a813-000d3a8e7ded,(Deprecated) Marketing Realtime Feature Configuration Reader,
5d24f5ab-b933-eb11-a813-000d3a8e7ded,(Deprecated) Marketing Realtime Feature Configuration Services User,
08593e02-ca6e-ec11-8943-000d3a9d73b9,Omnichannel API access,
854af338-f3c5-e711-8122-000d3aa01c52,Approvals Administrator,
c30bdbfe-7553-e811-8147-000d3aa39708,Omnichannel agent,
e4435009-7653-e811-8147-000d3aa39708,Omnichannel supervisor,
6c130bf2-77e4-eb11-bacb-000d3ab3d673,PCS Renewal Sales,
cab938ec-7717-eb11-a81b-000d3ac38fe6,Sync Skills,
2fe4d72e-e538-ea11-a81c-000d3ac3e6d8,Bot Contributor,
20902168-ee38-ea11-a81c-000d3ac3e6d8,Bot Transcript Viewer,
012fdc70-32ac-ed11-aad0-000d3adc8967,PCS BU Manager - Country Level,
532f6506-3bbd-eb11-bacc-000d3ade3348,PCS Sales User,
5b04ed20-44bd-eb11-bacc-000d3ade3348,PCS Sales Manager,
ba1bd53e-49bd-eb11-bacc-000d3ade3348,PCS Country Manager,
ae3bcf4a-49bd-eb11-bacc-000d3ade3348,PCS BU Manager,
a634c256-49bd-eb11-bacc-000d3ade3348,PCS Presales User,
7f3cb268-49bd-eb11-bacc-000d3ade3348,PCS Marketing User,
e4aaba74-49bd-eb11-bacc-000d3ade3348,PCS Management User,
70a8cd50-bd80-ec11-8d21-000d3adf7ec1,PCS Business Development Manager,
4ad10052-b0c3-eb11-b1b7-000d3af64e96,(Deprecated) Metadata Store Updater Service Role,
e8fb3146-7717-ec11-b1b7-000d3af68e17,Office Collaborator,
6beb51c1-0eda-e911-a81c-000d3af75d63,Productivity tools administrator,
c49aae0a-0fda-e911-a81c-000d3af75d63,Productivity tools user,
9f447a9a-4e2d-ea11-a81c-000d3afd580d,Sequence Manager,
469a3b1e-dd2c-4d8a-b688-0012e5d5f2ef,System Customizer,
016fd16e-7be7-e611-80d6-00155d204901,Relationship Insights Admin,
cad52a75-568c-e611-80d4-00155d42a122,Sales Enterprise app access,
3dac4d9e-568c-e611-80d4-00155d42a122,Customer service app access,
cb269f84-e19d-e011-b66c-00155db528b6,Activity Feeds,
5e4a9faa-b260-e611-8106-00155db8820b,IoT - Administrator,
9b18e47d-a666-ef11-a670-0022480b93b6,Email engagement app user role,
d334759c-a7fc-ec11-82e6-0022482aea7b,Swarm collaborator,
ee0bc8b2-4bfe-ec11-82e5-0022482d500e,Sustainability BusinessUnit - full access Role,
96aa4895-5ac2-ec11-a7b6-00224830446f,Sustainability all - full access Role,
72322043-f211-ed11-b83e-00224832b6bb,Sustainability all - ingest - full access Role,
eaeff5e8-8e5b-ec11-b1b6-0022487b9f36,Synapse Link Service Access,
46cd56c8-00aa-eb11-8236-0022489b4c66,System Administrator,
8cd056c8-00aa-eb11-8236-0022489b4c66,Delegate,
d0d056c8-00aa-eb11-8236-0022489b4c66,Support User,"Has full Read permission to customization and business management settings, which allow support staff to troubleshoot environment configuration issues. This role doesn't have access to core records. This role can't be assigned to a user or team."
96d156c8-00aa-eb11-8236-0022489b4c66,Basic User,
97d156c8-00aa-eb11-8236-0022489b4c66,System Customizer,
98afc95c-6406-ec11-94ef-0022489c0f78,Paramount Support Associate,
c20bc7ba-6506-ec11-94ef-0022489c0f78,Paramount Support Admin,
9ad51dde-6706-ec11-94ef-0022489c0f78,Paramount Support BU Manager,
8a097389-14dc-ec11-bb3d-0022489c2118,Paramount MSS Shift Lead 2,
e4f59ed6-8c9f-ec11-b400-0022489cbe08,Paramount MSS Analyst,
01c5e532-8d9f-ec11-b400-0022489cbe08,Paramount MSS Engineer,
8bb6946f-8d9f-ec11-b400-0022489cbe08,Paramount MSS Shift Lead,
d52c2610-8e9f-ec11-b400-0022489cbe08,Paramount MSS PMO/QA,
24c32af6-8463-4ccc-9034-006ca41bde63,(Deprecated) Metadata Store Updater Service Role,
01e333b7-c6ea-4c80-9aa5-006d9ec2a5f7,Sync Skills,
31e98577-700a-4d6b-9f81-007a0f2ab25c,Basic User,
9a31cf97-3848-4899-88a1-008c7e069d71,IntegratedSearchApp,
80350242-e0cc-485e-a7fd-00eed240fdf3,Paramount MSS Engineer,
a5950d66-4571-42dc-bcab-00f41b2b028e,Process Mining User,
8189b31e-d2e9-43be-86f7-0116b00065d1,Productivity tools user,
82d26c42-d674-4084-aad4-015e579169e7,Async ingestion,
6f4c368b-67b1-404f-bd09-01aaba61bc3d,Schedule Manager,
eef96238-7bf1-4b60-8ae4-01db3ef05317,Basic User,
c8463926-5c5c-4e2c-8e5e-020237d231aa,Omnichannel CDS Flush Role,
3d5da8db-9485-4625-92ed-020e4452aeee,Paramount MSS PMO/QA,
6b2928d8-eca1-4468-bfe2-02371ff69345,SalesInsights AutoCapture Admin,
01013ec7-73e2-40c3-a842-024c54d9e90c,D365ChannelDefinitions Admin,
13b345ee-fc7b-4584-9b9f-025f4731bd68,SuggestedActionS2SRole,
85a0f915-cd99-4e47-ac9e-0292a36d375f,DataLakeFolderEntityContributor,
84502373-7919-43f0-8677-02ad0de7e464,Marketing Professional,
210d3e9b-b019-4f0c-919e-02b2fd836917,Paramount MSS Engineer,
76304ede-a80d-4e97-9f23-02b3618266f0,Desktop Flows Machine User Can Share,
62a71b7b-6bea-41ef-9756-02e879d31ced,(Deprecated) Marketing Realtime Feature Configuration Administrator,
8c3bb1b4-1ea3-498f-9c71-03620fca7bdc,Customer Service Representative,
5411a3f3-bdff-4ebe-8458-03691d5055ad,Salesperson,
951cbf67-5fc3-47ee-bb7d-03854cef45cc,Desktop Flow Machine Configuration Admin,
